cml_id;isSublink;nRecords;nNAs;timeOfFirstAvailValue;timeOfLastAvailValue;band;frequency;polarisation;site_0_lon;site_0_lat ;site_1_lon;site_1_lat;length;id1;id2;isPairingUnique;nRecords
10082_12485_3158;TRUE;426044;41;13.01.2021 14:05;05.11.2021 10:48;26;25907;vertical;14.468414;50.09828;14.43625;50.108673;2570;10082_12485;3158;TRUE;NA
10082_12887_3159;TRUE;426044;42;13.01.2021 14:05;05.11.2021 10:48;23;22330;vertical;14.429364;50.08313;14.468414;50.09828;3260;10082_12887;3159;TRUE;NA
10082_12887_3159;TRUE;426044;49;13.01.2021 14:05;05.11.2021 10:48;23;23338;vertical;14.429364;50.08313;14.468414;50.09828;3260;10082_12887;3159;TRUE;NA
10082_15859_3160;TRUE;426044;30;13.01.2021 14:05;05.11.2021 10:48;38;37793;vertical;14.473056;50.105415;14.468414;50.09828;860;10082_15859;3160;TRUE;NA
10082_15859_3160;TRUE;426044;47;13.01.2021 14:05;05.11.2021 10:48;38;39053;vertical;14.473056;50.105415;14.468414;50.09828;860;10082_15859;3160;TRUE;NA
10082_304688_3161;TRUE;426044;40;13.01.2021 14:05;05.11.2021 10:48;26;25032;vertical;14.468414;50.09828;14.449593;50.10487;1530;10082_304688;3161;TRUE;NA
10082_304688_3161;TRUE;426044;33;13.01.2021 14:05;05.11.2021 10:48;26;26040;vertical;14.468414;50.09828;14.449593;50.10487;1530;10082_304688;3161;TRUE;NA
10082_306806_3162;TRUE;426044;37;13.01.2021 14:05;05.11.2021 10:48;38;37527;vertical;14.475555;50.10389;14.468414;50.09828;810;10082_306806;3162;TRUE;NA
10082_306806_3162;TRUE;426044;44;13.01.2021 14:05;05.11.2021 10:48;38;38787;vertical;14.475555;50.10389;14.468414;50.09828;810;10082_306806;3162;TRUE;NA
10082_330773_3163;TRUE;426044;48;13.01.2021 14:05;05.11.2021 10:48;23;22526;vertical;14.470895;50.1201;14.468414;50.09828;2440;10082_330773;3163;TRUE;NA
10082_330773_3163;TRUE;426044;61;13.01.2021 14:05;05.11.2021 10:48;23;23534;vertical;14.470895;50.1201;14.468414;50.09828;2440;10082_330773;3163;TRUE;NA
10082_334697_3164;TRUE;426044;35;13.01.2021 14:05;05.11.2021 10:48;23;22102.5;vertical;14.479028;50.113976;14.468414;50.09828;1910;10082_334697;3164;TRUE;NA
10082_334697_3164;TRUE;426044;51;13.01.2021 14:05;05.11.2021 10:48;23;23110.5;vertical;14.479028;50.113976;14.468414;50.09828;1910;10082_334697;3164;TRUE;NA
10082_342502_3165;TRUE;426045;54;13.01.2021 14:05;05.11.2021 10:49;32;32466;vertical;14.468414;50.09828;14.461145;50.092533;820;10082_342502;3165;TRUE;NA
10082_342502_3165;TRUE;426045;37;13.01.2021 14:05;05.11.2021 10:49;32;33278;vertical;14.468414;50.09828;14.461145;50.092533;820;10082_342502;3165;TRUE;NA
